Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.6 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777249207 templates=33
EncounterTemplate selected room=room_boss_approach_large_c03_06 encounter=boss template=edge_basics display=Edge Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_connector_junction_medium_c03_02 encounter=arena_room_connector_junction_medium_c03_02 template=movement_projectiles display=Movement + Projectiles repeated=false stage=unused_compatible tags=arena,connector,junction,medium
EncounterTemplate selected room=room_connector_narrow_medium_c03_04 encounter=arena_room_connector_narrow_medium_c03_04 template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
Dungeon Pipeline Graph: { "rooms": 7, "links": 6 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "boss"], "combat_room": "room_connector_junction_medium_c03_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05"] }
Dungeon Pipeline Spatial: { "start_room": "spawn_room_00", "boss_room": "room_boss_approach_large_c03_06" }
FPS_LOG t=30.6 fps=72 ms=13.9 dc=4841 obj=5709 prim=136616 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=30.9 fps=72 ms=13.9 dc=4843 obj=5711 prim=136624 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=31.2 fps=93 ms=10.8 dc=4841 obj=5709 prim=136616 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=31.4 fps=93 ms=10.8 dc=4843 obj=5711 prim=136620 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=31.7 fps=93 ms=10.8 dc=4845 obj=5713 prim=136628 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=31.9 fps=93 ms=10.8 dc=4839 obj=5707 prim=136576 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=32.2 fps=91 ms=11.0 dc=4838 obj=5706 prim=107920 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=32.4 fps=91 ms=11.0 dc=4835 obj=5705 prim=108044 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=32.7 fps=91 ms=11.0 dc=4833 obj=5710 prim=109342 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=33.0 fps=91 ms=11.0 dc=4833 obj=5722 prim=110990 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=33.2 fps=76 ms=13.2 dc=4833 obj=5716 prim=104826 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=33.5 fps=76 ms=13.2 dc=4834 obj=5702 prim=98994 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=33.7 fps=76 ms=13.2 dc=4833 obj=5684 prim=91090 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=34.0 fps=76 ms=13.2 dc=4832 obj=5700 prim=99130 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=34.2 fps=65 ms=15.4 dc=4834 obj=5710 prim=102246 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=34.5 fps=65 ms=15.4 dc=4834 obj=5715 prim=103248 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=34.8 fps=65 ms=15.4 dc=4833 obj=5705 prim=101043 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
